0 28 0 4 "young"
0 32 0 4 "young"
0 41 0 3 "old"
NA 21 0 2 "young"
1 34 0 2 "young"
0 24 0 NA "young"
1 28 0 2 "young"
1 40 0 2 "young"
1 24 1 3 "young"
0 39 1 3 "young"
1 42 0 2 "old"
0 36 0 3 "young"
1 30 1 4 "young"
0 36 0 3 "young"
NA 21 1 3 "young"
0 38 0 4 "young"
0 22 0 4 "young"
1 23 0 2 "young"
0 25 0 4 "young"
1 26 0 2 "young"
0 42 0 3 "old"
0 28 0 3 "young"
0 25 0 4 "young"
1 29 0 2 "young"
1 33 0 2 "young"
1 40 1 4 "young"
0 42 1 NA "old"
0 28 0 4 "young"
0 35 0 3 "young"
1 47 1 3 "old"
1 41 1 2 "old"
0 38 0 3 "young"
0 42 1 4 "old"
0 40 0 3 "young"
1 28 0 3 "young"
1 29 0 3 "young"
1 31 0 2 "young"
1 43 1 2 "old"
1 19 0 3 "young"
0 48 0 2 "old"
0 18 0 4 "young"
0 18 0 4 "young"
0 28 0 3 "young"
1 19 0 2 "young"
1 18 0 2 "young"
1 21 0 2 "young"
0 37 1 2 "young"
1 35 0 2 "young"
1 18 0 2 "young"
1 20 0 1 "young"
1 18 1 2 "young"
0 38 0 4 "young"
0 19 1 4 "young"
0 38 0 3 "young"
0 36 0 NA "young"
0 18 0 4 "young"
1 20 0 3 "young"
0 21 0 4 "young"
1 21 0 2 "young"
0 24 0 4 "young"
0 19 1 4 "young"
1 20 1 NA "young"
1 22 1 2 "young"
NA 25 1 4 "young"
0 41 0 2 "old"
0 20 0 3 "young"
1 30 0 4 "young"
0 18 0 NA "young"
1 19 0 2 "young"
0 28 1 4 "young"
1 40 0 2 "young"
1 22 0 2 "young"
0 25 0 4 "young"
1 41 0 4 "old"
1 39 1 4 "young"
0 20 0 3 "young"
0 21 0 4 "young"
1 49 0 2 "old"
NA 20 0 2 "young"
0 46 0 4 "old"
1 28 0 4 "young"
1 30 0 3 "young"
1 20 0 4 "young"
0 36 1 4 "young"
1 27 1 4 "young"
0 33 0 1 "young"
0 41 1 3 "old"
1 19 0 2 "young"
1 20 0 3 "young"
1 22 0 3 "young"
0 20 0 2 "young"
0 20 0 1 "young"
0 19 1 1 "young"
0 27 1 2 "young"
1 43 0 1 "old"
1 32 0 1 "young"
1 24 0 1 "young"
0 49 1 1 "old"
NA 25 1 1 "young"
1 19 1 1 "young"
0 44 1 1 "old"
0 34 0 1 "young"
1 32 0 1 "young"
1 46 1 1 "old"
0 40 1 1 "young"
0 19 0 1 "young"
0 38 0 1 "young"
1 21 1 1 "young"
0 19 0 1 "young"
0 49 0 1 "old"
1 38 0 1 "young"
1 20 1 1 "young"
1 42 1 1 "old"
0 21 0 1 "young"
0 31 0 1 "young"
1 27 1 NA "young"
1 19 0 1 "young"
1 44 0 1 "old"
0 28 1 1 "young"
0 52 0 1 "old"
0 31 0 1 "young"
1 21 0 NA "young"
1 50 1 1 "old"
